299	2911
4308	4775
1053	2879
116	2909
2100	2229
1935	2199
532	745
107	448
2458	4241
616	702
1830	3466
299	974
280	1097
3833	4851
1317	2728
823	3095
1	258
120	4368
1686	4495
106	3958
1250	4462
2102	2350
2720	4842
412	1674
117	4124
1	927
2465	2658
143	4222
483	3071
946	2519
1689	4236
434	1080
277	674
843	3959
214	869
99	3869
410	4493
630	1928
245	376
3064	4546
3770	4172
329	1783
2323	4837
329	3294
123	2056
5233	5403
61	2495
2775	2955
118	1069
4040	4508
9	2019
141	3078
821	2875
422	2118
299	3177
3455	4094
247	2915
551	1684
624	1909
2948	4823
2478	2701
911	4201
2580	4035
12	2140
3094	4564
1025	3798
616	3436
2425	4829
811	2319
1024	4355
833	3095
1	941
126	4432
1693	3002
4141	4169
157	3221
13	2338
3	1751
2126	2434
524	1565
835	5146
3757	3764
1800	3074
3793	3809
552	2233
3057	4211
2058	3371
2073	3716
615	2101
214	3811
91	148
339	3826
805	4120
122	4384
216	2556
200	410
920	1920
363	2779
856	1088
2996	3013
339	1753
61	998
1810	4516
1887	3095
103	3945
1112	3000
91	2856
1025	5585
290	358
753	3868
1354	4101
268	2492
616	4784
3757	4133
971	3056
306	1879
26	1931
421	4942
363	2843
2588	4778
329	2687
13	434
4540	4553
116	2544
238	968
99	524
2643	2655
730	1281
3806	4120
3744	3794
41	3123
2599	2761
1230	1624
520	630
295	1429
730	3539
2015	2019
2349	3149
1055	1097
46	1080
325	1865
466	4977
99	3842
223	3868
312	2909
2206	3190
117	3764
24	2663
312	1669
107	3971
214	1674
312	3569
339	3147
2861	2976
1748	2073
175	3691
2009	2549
134	3126
504	1792
2677	2863
1715	2143
434	1689
1888	2666
925	967
722	2319
255	2909
1840	2280
149	2939
342	1741
39	89
0	178
916	1423
1712	1810
412	528
103	3921
294	338
441	2527
70	507
4069	4211
2038	3057
331	826
2102	2106
261	1727
2636	2643
141	1888
194	2019
483	2469
1250	1994
906	2497
421	1683
552	2769
1749	3601
88	1429
2051	2855
324	2353
552	4793
62	3360
2654	3292
0	230
59	70
918	3144
876	1816
306	2310
1217	2749
1803	3436
113	4079
93	212
99	3870
3	1801
3780	3803
214	1872
1683	2517
2331	3671
2064	2148
970	2759
2503	3705
1512	1823
182	209
490	559
906	1806
1019	3856
2477	3212
815	4823
925	1026
2362	2377
4011	4026
2019	3115
342	1676
126	526
214	2961
141	2632
317	379
2366	2373
2689	4241
862	1675
2431	2677
142	4758
1270	3680
91	2138
2790	2791
730	997
3775	3814
299	1161
4536	4562
3444	4563
299	4800
421	2097
321	1813
151	1024
1624	2800
975	2019
3793	4161
3751	3767
3764	3789
630	2967
3067	3075
75	3221
868	4148
1739	4497
148	2360
67	3398
250	552
1848	2201
2540	2547
2919	2925
351	894
1080	2131
622	2319
642	651
123	4392
1042	2720
2792	4446
1835	3710
2238	2769
3	862
2580	4019
137	4499
1686	2660
2100	2350
1916	4791
1024	4496
27	2795
1269	3069
214	2736
1688	1905
3180	3471
1838	2154
1860	4737
2936	2943
0	81
2323	3202
730	4982
1840	4330
46	2102
2039	2606
1979	3203
29	2836
87	3618
1696	2138
1831	1882
214	4923
491	560
36	51
216	730
3253	3257
1556	4765
149	4814
1	1076
226	785
